ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name,park_type,User Category
603,269,Dechene Park Playground,18209 57 Avenue NW,Playground,Sand,Unknown,,Parks,1997/12/31,53.491482,-113.636997,"(53.491482469188426, -113.63699729421191)",POINT (-113.63699729421191 53.491482469188426),4110,DECHENE,play,Junior/Senior (18 months to 12 years)
882,111,Summerlea Playground,176 Street - 93 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2013/12/31,53.526913,-113.62412,"(53.52691331990684, -113.62411993741514)",POINT (-113.62411993741514 53.52691331990684),4520,SUMMERLEA,play,Junior/Senior (18 months to 12 years)
300,1944,Sir Wilfrid Laurier Natural Playground,13221 Buena Vista Road,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2020/01/01,53.510463,-113.548799,"(53.51046346453969, -113.54879884728783)",POINT (-113.54879884728783 53.51046346453969),3382,RIVER VALLEY LAURIER,play,Junior/Senior (18 months to 12 years)
697,780,Canon Ridge,Hermitage and Hooke Road,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2011/12/31,53.580641,-113.378536,"(53.58064095882221, -113.37853648802758)",POINT (-113.37853648802758 53.58064095882221),2120,CANON RIDGE,play,Unknown
3,3725,Red Panda Parallel Play (Edmonton Valley Zoo),13221 Buena Vista Road NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2019/09/18,53.512618,-113.554011,"(53.512618014906415, -113.55401084932339)",POINT (-113.55401084932339 53.512618014906415),3382,RIVER VALLEY LAURIER,play,Junior/Senior (18 months to 12 years)
393,745,Silver Heights Park,8777 96 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2006/12/31,53.532705,-113.464535,"(53.53270541886366, -113.46453487846088)",POINT (-113.46453487846088 53.53270541886366),6710,STRATHEARN,play,Junior (18 months to 5 years)
710,1645,Beacon Heights Park Tot Lot,3424 119 A Avenue NW,Playground,Sand,Unknown,,Parks,1960/12/31,53.572987,-113.395704,"(53.572986838380274, -113.39570433899283)",POINT (-113.39570433899283 53.572986838380274),2040,BEACON HEIGHTS,play,Junior/Senior (18 months to 12 years)
330,36,Montrose Community League,5920 119 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2010/12/31,53.57243,-113.433158,"(53.572430076088544, -113.43315831608885)",POINT (-113.43315831608885 53.572430076088544),2550,MONTROSE,play,Junior (18 months to 5 years)
354,331,Kinross-Kerr Park Playground,264 Rhatigan Road East NW,Playground,Sand,Unknown,,Parks,1994/12/31,53.47625,-113.596651,"(53.47625003660539, -113.59665143599692)",POINT (-113.59665143599692 53.47625003660539),5350,RHATIGAN RIDGE,play,Junior/Senior (18 months to 12 years)
469,3360,Rutherford (Johnny Bright School),Rutherford Road,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2011/12/31,53.420181,-113.534681,"(53.4201813934737, -113.53468109419812)",POINT (-113.53468109419812 53.4201813934737),5454,RUTHERFORD,play,Junior/Senior (18 months to 12 years)
362,1782,Henri Legay,51 Street - 140 Avenue,Playground,Sand,Unknown,,Parks,1995/12/31,53.603711,-113.42123,"(53.60371107347973, -113.42123046944923)",POINT (-113.42123046944923 53.60371107347973),2720,YORK,play,Junior/Senior (18 months to 12 years)
385,729,Mary Finlay Park,10304 82 Street NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2012/12/31,53.543557,-113.451369,"(53.5435566768341, -113.45136892590416)",POINT (-113.45136892590416 53.5435566768341),6230,FOREST HEIGHTS,play,Senior (6 to 12 years)
462,391,Russ Barnes Arena,6725 120 Avenue NW,Playground,Sand,Unknown,,Parks,2019/12/31,53.574181,-113.446322,"(53.57418120627344, -113.44632165264565)",POINT (-113.44632165264565 53.57418120627344),2550,MONTROSE,play,Junior/Senior (18 months to 12 years)
217,776,Kitchener Park,11411 103 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2015/12/31,53.544239,-113.518771,"(53.544239467200754, -113.51877110890669)",POINT (-113.51877110890669 53.544239467200754),1150,OLIVER,play,Junior/Senior (18 months to 12 years)
506,590,Violet Archer Park,10920 70 Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2006/12/31,53.506854,-113.513451,"(53.50685449880699, -113.51345104244933)",POINT (-113.51345104244933 53.50685449880699),5310,PARKALLEN,play,Junior/Senior (18 months to 12 years)
765,112,Athlone Community Playground,13010 129 Street NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2004/12/31,53.589305,-113.545773,"(53.58930502593799, -113.54577295469272)",POINT (-113.54577295469272 53.58930502593799),3010,ATHLONE,play,Junior/Senior (18 months to 12 years)
635,342,Elmwood/John Devolder Playground,16415 - 83 AVENUE NW T5R3V8,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2010/12/31,53.515803,-113.605859,"(53.515802762661835, -113.6058593913611)",POINT (-113.6058593913611 53.515802762661835),4140,ELMWOOD,play,Junior/Senior (18 months to 12 years)
308,332,Prince Charles Playground,12033 125 Street NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2007/12/31,53.574441,-113.536689,"(53.57444079782873, -113.53668892624046)",POINT (-113.53668892624046 53.57444079782873),3350,PRINCE CHARLES,play,Junior/Senior (18 months to 12 years)
648,263,Dovercourt Community Playground,13510 Dovercourt Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2004/12/31,53.575865,-113.559672,"(53.575865002940645, -113.55967204377797)",POINT (-113.55967204377797 53.575865002940645),3170,DOVERCOURT,play,Junior/Senior (18 months to 12 years)
351,145,Kiniski Gardens School/Burnewood,4104 41 Street NW,Playground,"Engineered Wood Fibre, Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,2012/12/31,53.47765,-113.404033,"(53.47765038566308, -113.40403326826075)",POINT (-113.40403326826075 53.47765038566308),6370,KINISKI GARDENS,play,Senior (6 to 12 years)
202,99,Inglewood School Playground,12525 116 Avenue NW,Playground,Pour In Place Rubber,Wheelchair Accessible,,Parks,2021/11/17,53.566353,-113.539218,"(53.56635295129612, -113.53921771443751)",POINT (-113.53921771443751 53.56635295129612),3240,INGLEWOOD,play,Junior/Senior (18 months to 12 years)
