ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,User Category,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
680,117,Callingwood School Playground,17335 76 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2012/12/31,53.508217,-113.622135,"(53.508216648520566, -113.62213503222642)",POINT (-113.62213503222642 53.508216648520566),4070,CALLINGWOOD NORTH
849,382,York Park (Steele Heights Community),5825 140 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1995/12/31,53.601830,-113.433353,"(53.601830147941186, -113.43335336239919)",POINT (-113.43335336239919 53.601830147941186),2720,YORK
898,70,Westridge Wolf Willow Playground,505 Wolf Willow Drive NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2010/12/31,53.506347,-113.605518,"(53.506346745358854, -113.60551813535633)",POINT (-113.60551813535633 53.506346745358854),4610,WESTRIDGE
828,164,Windsor Park School,8720 118 Street NW,Playground,"Engineered Wood Fibre, Pour In Place Rubber, Sand",Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2011/12/31,53.523624,-113.535726,"(53.523623574215875, -113.5357261606755)",POINT (-113.5357261606755 53.523623574215875),5580,WINDSOR PARK
718,398,Floden Park,4209 Ada Boulevard NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,Senior (6 to 12 years),Parks,2005/12/31,53.563678,-113.407908,"(53.56367833727398, -113.40790809588981)",POINT (-113.40790809588981 53.56367833727398),2100,BEVERLY HEIGHTS
417,1661,St. Gabriel Catholic School,5540 106 Avenue NW,Playground,Sand,Unknown,Senior (6 to 12 years),Parks,1997/12/31,53.550852,-113.423607,"(53.55085229086768, -113.4236073478713)",POINT (-113.4236073478713 53.55085229086768),6061,CAPILANO
229,3463,Jackie Parker Park,50 Street - 44 Avenue NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,Senior (6 to 12 years),Parks,2009/12/31,53.484231,-113.422231,"(53.48423088877932, -113.42223054871309)",POINT (-113.42223054871309 53.48423088877932),6500,MILL WOODS GOLF COURSE
241,1644,Ralph Hopp Park,6802 130 Avenue NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1975/12/31,53.589332,-113.445666,"(53.589332316982265, -113.44566575545537)",POINT (-113.44566575545537 53.589332316982265),2020,BALWIN
672,3580,Elsinore Chambery Park Playground,"176 Avenue, Between 104-107 Street",Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2009/12/31,53.640909,-113.505958,"(53.6409092910303, -113.5059583414418)",POINT (-113.5059583414418 53.6409092910303),3190,ELSINORE
767,309,Kinsmen Park Senior,9100 Walterdale Hill NW,Playground,Pour In Place Rubber,Wheelchair Accessible,Junior/Senior (18 months to 12 years),Parks,2013/12/31,53.526708,-113.509171,"(53.52670759825237, -113.50917129309697)",POINT (-113.50917129309697 53.52670759825237),5390,RIVER VALLEY WALTERDALE
318,1766,Central Westmount Playground,10625 126 Street NW,Playground,Sand,Unknown,Junior/Senior (18 months to 12 years),Parks,1993/12/31,53.550244,-113.538990,"(53.55024418889688, -113.53898971893733)",POINT (-113.53898971893733 53.55024418889688),3440,WESTMOUNT
